"devicedb_id","hubelean_id","location_name","location_address","longitude","latitude","TotalNbOfConnectors","ConnectorType"
"10488","UAE-HBN-CCL342","DIERA-Adnoc Dubai-AlAin Road, Near Outlet mall","Umm Nahad, Dubai, United Arab Emirates","55.407","25.068","3","62196-2 (Three Phase) , Combined ChaDeMo/ComboCCS , Combined ChaDeMo/C"
"10489","UAE-HBN-CCL341","BUR DUBAI DWTC Apartment B Block, Trade centre","Sh.Zayed Road, 25.2232072, 55.284795, Dubai, United Arab Emirates","55.285","25.223","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10490","UAE-HBN-CCL345","Moro Data Center-MBR Solar Park, Saih Al Dahal","Lusaily, Dubai, United Arab Emirates","55.365","24.766","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10491","UAE-HBN-CCL337","BUR DUBAI-Dubai Media Head Office, Umm Hurair","Umm Hurair, Dubai, United Arab Emirates","55.318","25.247","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10492","UAE-HBN-CCL336","DIERA-DEWA warsan family accomadation, Warsan","Warsan, Dubai, United Arab Emirates","55.43227","25.14911","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10493","UAE-HBN-CCL338","Dubai Police,Trafic Department Admin Building,  Deira","Al Twar, Dubai, United Arab Emirates","55.35459","25.27258","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10494","UAE-HBN-CCL339","Dubai Police,Forensic Sciences & Criminology Building, DP HQ","Dubai, United Arab Emirates","55.35765","25.27848","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10495","UAE-HBN-CCL349","Dubai Police,Mounted Police Station, Aweer","Al Aweer, Dubai, United Arab Emirates","55.432","25.149","1","62196-2 (Three Phase)"
"10496","UAE-HBN-CCL347","Dewa Warsan Accommodation (Bachelor)","Warsan, Dubai, United Arab Emirates","55.4330068","25.149068","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10497","UAE-HBN-CCL346","DIERA-Naif Police Station, Naif","Deira, Dubai, United Arab Emirates","55.306","25.273","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10498","UAE-HBN-CCL348","Dubai Real Estate Corporation (AL WASL), Port Views, Madinat Dubai","Satwa, 25.24597, 55.27542, Dubai, United Arab Emirates","55.275","25.246","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10499","UAE-HBN-CCL350","Adnoc service station, Wadi al Amardi east","Wadi al Aamardi, Dubai, United Arab Emirates","55.50341","25.18366","3","Combo CCS , ChaDeMo , 62196-2 (Three Phase)"
"10500","UAE-HBN-CCL351","Adnoc service station, Wadi al Shabak","Wadi al Shabak, Dubai, United Arab Emirates","55.35637","25.08934","3","Combo CCS , ChaDeMo , 62196-2 (Three Phase)"
"10501","UAE-HBN-CCL352","Adnoc service station, The Villa,Wadi al Saffa","Wadi al Saffa, Dubai, United Arab Emirates","55.49278","25.18462","3","Combo CCS , ChaDeMo , 62196-2 (Three Phase)"
"10502","UAE-HBN-CCL353","Adnoc service station, Jebal Ali","Jebal Ali, Dubai, United Arab Emirates","55.147","25.003","3","Combo CCS , ChaDeMo , 62196-2 (Three Phase)"
"10503","UAE-HBN-CCL354","DEIRA-Adnoc service station, Akoya, Yufra","Jebal Ali-Habab Rd, Dubai, United Arab Emirates","55.407","24.966","3","62196-2 (Three Phase) , Combined ChaDeMo/ComboCCS , Combined ChaDeMo/C"
"10504","UAE-HBN-CCL355","DEIRA- Adnoc service station, Garoob ,Mirdif","Mirdif, Dubai, United Arab Emirates","55.425","25.214","3","62196-2 (Three Phase) , Combined ChaDeMo/ComboCCS , Combined ChaDeMo/C"
"10505","UAE-HBN-CCL356","DEIRA-Adnoc service station, Wadi al Shabak","Mirdif, 25.1659496, 55.4771899, Dubai, United Arab Emirates","55.477","25.165","3","Combo CCS , ChaDeMo , 62196-2 (Three Phase)"
"10511","UAE-HBN-CCL361A","Lego land Hotel, Jebal Ali","Saih Al Shoib, 24.9172682, 55.0090696, Dubai, United Arab Emirates","55.009071","24.9172664","1","62196-2 (Three Phase)"
"10517","UAE-HBN-CCL361B","Lego land Hotel, Jebal Ali 1","Saih Al Shoib, Dubai, United Arab Emirates","55.009071","24.9172664","1","62196-2 (Three Phase)"
"10519","UAE-HBN-CCL370","Tecom Master Card Bldg , Safouh","Dubai, United Arab Emirates","55.158","25.095","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10520","UAE-HBN-CCL371","Dubai Holding, DSP Head Quarters","Barsha, Dubai, United Arab Emirates","55.241","25.074","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"113","UAE-HBN-CCL2","BUR DUBAI-Main Office Customer Service Center 02","DEWA, Dubai, United Arab Emirates","55.324","25.227","3","ChaDeMo , Combo CCS , 62196-2 (Three Phase)"
"116","UAE-HBN-CCL4","BUR DUBAI-Al Quoz Sustainable Building 03","DEWA, United Arab Emirates","55.232","25.154","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"118","UAE-HBN-CCL6","BUR DUBAI-Al Hudaiba Customer Services Center 01","DEWA, Dubai, United Arab Emirates","55.281859","25.244297","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"120","UAE-HBN-CCL8","DEIRA-Umm Ramoul Customer Services Center","DEWA, Dubai, United Arab Emirates","55.376","25.225","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"122","UAE-HBN-CCL10","J.ALI-Jabel Ali Industries Customer Service Center 01","DEWA, Dubai, United Arab Emirates","55.105","24.997","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"124","UAE-HBN-CCL12","BUR DUBAI-Al Wasel Customer Service Center","DEWA, Dubai, United Arab Emirates","55.262","25.2","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"128","UAE-HBN-CCL16","J.ALI-Maktoum Airport","Dubai Airport, Dubai, United Arab Emirates","55.158","24.885","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
